t,x
0,-373
0.01,-373
0.01,-369
0.02,-361
0.03,-353
0.05,-346
0.06,-336
0.07,-324
0.08,-312
0.09,-301
0.1,-289
0.11,-274
0.12,-260
0.14,-246
0.15,-233
0.16,-217
0.17,-201
0.18,-186
0.19,-171
0.2,-156
0.22,-141
0.23,-126
0.24,-111
0.25,-98
0.26,-85
0.27,-73
0.28,-61
0.29,-50
0.3,-39
0.31,-30
0.32,-21
0.33,-12
0.35,-3
0.35,3
0.36,7
0.37,12
0.38,16
0.39,21
0.4,25
0.41,26
0.42,27
0.43,28
0.44,28
0.45,29
0.45,28
0.46,24
0.47,21
0.48,18
0.49,15
0.5,11
0.51,4
0.52,-3
0.53,-9
0.54,-16
0.55,-23
0.56,-34
0.57,-46
0.58,-56
0.59,-67
0.6,-77
0.61,-91
0.62,-105
0.63,-119
0.65,-133
0.66,-148
0.67,-165
0.68,-180
0.69,-195
0.7,-210
0.71,-226
0.73,-241
0.74,-256
0.75,-270
0.76,-285
0.77,-298
0.78,-311
0.79,-324
0.8,-335
0.82,-346
0.83,-356
0.84,-366
0.85,-375
0.86,-381
0.87,-387
0.88,-393
0.9,-398
21.91,-401
21.91,-402
21.91,-402
21.92,-402
21.93,-403
21.94,-404
21.95,-404
21.96,-400
21.98,-395
21.99,-391
22,-386
22.01,-377
22.03,-368
22.04,-359
22.05,-349
22.06,-335
22.08,-322
22.09,-310
22.1,-296
22.11,-280
22.13,-264
22.14,-249
22.15,-233
22.17,-215
22.18,-198
22.19,-182
22.2,-166
22.21,-148
22.23,-132
22.24,-116
22.25,-100
22.26,-85
22.28,-72
22.29,-59
22.3,-47
22.31,-36
22.32,-25
22.33,-16
22.34,-6
22.35,1
22.36,6
22.37,11
22.38,16
22.39,21
22.4,24
22.42,25
22.43,26
22.44,27
22.45,27
22.46,25
22.47,21
22.48,18
22.49,15
22.5,11
22.51,4
22.52,-3
22.53,-11
22.54,-19
22.55,-27
22.56,-40
22.57,-52
22.59,-64
22.6,-75
22.61,-89
22.62,-105
22.63,-120
22.64,-135
22.66,-152
22.67,-170
22.68,-186
22.69,-202
22.71,-219
22.72,-236
22.73,-253
22.75,-268
22.76,-284
22.77,-299
22.78,-313
22.79,-326
22.81,-339
22.82,-350
22.83,-361
22.84,-371
22.86,-379
22.87,-386
22.88,-392
22.89,-398
,
32.91,-401
32.91,-402
32.91,-402
32.92,-402
32.93,-403
32.94,-404
32.95,-404
32.97,-400
32.98,-395
32.99,-391
33,-386
33.02,-377
33.03,-368
33.04,-359
33.05,-349
33.06,-335
33.08,-322
33.09,-310
33.1,-297
33.12,-280
33.13,-264
33.14,-249
33.15,-233
33.17,-215
33.18,-198
33.19,-182
33.2,-166
33.22,-148
33.23,-132
33.24,-116
33.25,-100
33.26,-85
33.28,-72
33.29,-59
33.3,-47
33.31,-36
33.32,-26
33.33,-16
33.35,-6
33.36,1
33.37,6
33.37,11
33.38,16
33.39,21
33.4,24
33.42,25
33.43,26
33.44,27
33.45,27
33.46,25
33.47,22
33.48,18
33.49,15
33.5,11
33.51,4
33.52,-3
33.53,-11
33.54,-19
33.55,-27
33.56,-40
33.57,-52
33.59,-64
33.6,-75
33.61,-89
33.62,-104
33.63,-120
33.65,-135
33.66,-152
33.67,-169
33.68,-186
33.7,-202
33.71,-219
33.72,-236
33.73,-253
33.75,-268
33.76,-284
33.77,-299
33.78,-313
33.79,-326
33.81,-339
33.82,-350
33.83,-361
33.85,-371
33.86,-379
33.87,-386
33.88,-392
33.9,-398
43.91,-401
43.91,-402
43.91,-402
43.92,-402
43.93,-403
43.94,-404
43.95,-404
43.97,-400
43.98,-395
43.99,-391
44,-386
44.02,-377
44.03,-368
44.04,-359
44.05,-349
44.06,-335
44.08,-322
44.09,-310
44.1,-297
44.11,-280
44.13,-264
44.14,-249
44.15,-233
44.17,-215
44.18,-198
44.19,-182
44.2,-166
44.22,-148
44.23,-132
44.24,-116
44.25,-100
44.27,-85
44.28,-72
44.29,-59
44.3,-47
44.31,-36
44.32,-26
44.33,-16
44.35,-6
44.36,1
44.36,6
44.37,11
44.38,16
44.39,21
44.4,24
44.42,25
44.43,26
44.44,27
44.45,27
44.46,25
44.47,22
44.48,18
44.49,15
44.5,11
44.51,4
44.52,-3
44.53,-11
44.54,-19
44.55,-27
44.56,-40
44.57,-52
44.59,-64
44.6,-75
44.61,-89
44.62,-104
44.63,-120
44.65,-135
44.66,-152
44.67,-169
44.68,-186
44.7,-202
44.71,-219
44.72,-236
44.73,-253
44.75,-268
44.76,-284
44.77,-299
44.78,-313
44.79,-326
44.81,-339
44.82,-350
44.83,-361
44.85,-371
44.86,-379
44.87,-386
44.88,-392
44.9,-398
54.91,-401
54.91,-402
54.91,-402
54.92,-402
54.93,-403
54.94,-404
54.95,-404
54.97,-400
54.98,-395
54.99,-391
55,-386
55.02,-377
55.03,-368
55.04,-359
55.05,-349
55.06,-335
55.08,-322
55.09,-310
55.1,-297
55.11,-280
55.13,-264
55.14,-249
55.15,-233
55.16,-215
55.18,-198
55.19,-182
55.2,-166
55.22,-148
55.23,-132
55.24,-116
55.25,-100
55.27,-85
55.28,-72
55.29,-59
55.3,-47
55.31,-36
55.32,-26
55.33,-16
55.35,-6
55.36,1
55.36,6
55.37,11
55.38,16
55.4,21
55.4,24
55.42,25
55.43,26
55.44,27
55.45,27
55.46,25
55.47,22
55.48,18
55.49,15
55.5,12
55.51,4
55.52,-3
55.53,-11
55.54,-19
55.55,-27
55.56,-40
55.57,-52
55.59,-64
55.6,-75
55.61,-89
55.62,-104
55.63,-120
55.65,-135
55.66,-152
55.67,-169
55.68,-186
55.7,-202
55.71,-219
55.72,-236
55.73,-253
55.75,-268
55.76,-284
55.77,-299
55.78,-313
55.79,-326
55.81,-339
55.82,-350
55.83,-361
55.84,-371
55.86,-379
55.87,-386
55.88,-392
55.9,-398
