t,x
0,-373
0.01,-373
0.02,-369
0.03,-361
0.04,-353
0.05,-346
0.06,-336
0.07,-324
0.08,-312
0.09,-301
0.1,-289
0.11,-274
0.12,-260
0.13,-246
0.14,-233
0.15,-217
0.16,-201
0.17,-186
0.18,-171
0.19,-156
0.2,-141
0.21,-126
0.22,-111
0.23,-98
0.24,-85
0.25,-73
0.26,-61
0.27,-50
0.28,-39
0.29,-30
0.3,-21
0.31,-12
0.32,-3
0.33,3
0.34,7
0.35,12
0.36,16
0.37,21
0.38,25
0.39,26
0.4,27
0.41,28
0.42,28
0.43,29
0.44,28
0.45,24
0.46,21
0.47,18
0.48,15
0.49,11
0.5,4
0.51,-3
0.52,-9
0.53,-16
0.54,-23
0.55,-34
0.56,-46
0.57,-56
0.58,-67
0.59,-77
0.6,-91
0.61,-105
0.62,-119
0.63,-133
0.64,-148
0.65,-165
0.66,-180
0.67,-195
0.68,-210
0.69,-226
0.7,-241
0.71,-256
0.72,-270
0.73,-285
0.74,-298
0.75,-311
0.76,-324
0.77,-335
0.78,-346
0.79,-356
0.8,-366
0.81,-375
0.82,-381
0.83,-387
0.84,-393
0.85,-398
0.86,-401
0.87,-402
0.88,-402
0.89,-402
0.9,-403
0.91,-404
0.92,-404
0.93,-400
0.94,-395
0.95,-391
0.96,-386
0.97,-377
0.98,-368
0.99,-359
1,-349
1.01,-335
1.02,-322
1.03,-310
1.04,-296
1.05,-280
1.06,-264
1.07,-249
1.08,-233
1.09,-215
1.1,-198
1.11,-182
1.12,-166
1.13,-148
1.14,-132
1.15,-116
1.16,-100
1.17,-85
1.18,-72
1.19,-59
1.2,-47
1.21,-36
1.22,-25
1.23,-16
1.24,-6
1.25,1
1.26,6
1.27,11
1.28,16
1.29,21
1.3,24
1.31,25
1.32,26
1.33,27
1.34,27
1.35,25
1.36,21
1.37,18
1.38,15
1.39,11
1.4,4
1.41,-3
1.42,-11
1.43,-19
1.44,-27
1.45,-40
1.46,-52
1.47,-64
1.48,-75
1.49,-89
1.5,-105
1.51,-120
1.52,-135
1.53,-152
1.54,-170
1.55,-186
1.56,-202
1.57,-219
1.58,-236
1.59,-253
1.6,-268
1.61,-284
1.62,-299
1.63,-313
1.64,-326
1.65,-339
1.66,-350
1.67,-361
1.68,-371
1.69,-379
1.7,-386
1.71,-392
1.72,-398
1.73,-401
1.74,-402
1.75,-402
1.76,-402
1.77,-403
1.78,-404
1.79,-404
1.8,-400
1.81,-395
1.82,-391
1.83,-386
1.84,-377
1.85,-368
1.86,-359
1.87,-349
1.88,-335
1.89,-322
1.9,-310
1.91,-297
1.92,-280
1.93,-264
1.94,-249
1.95,-233
1.96,-215
1.97,-198
1.98,-182
1.99,-166
2,-148
2.01,-132
2.02,-116
2.03,-100
2.04,-85
2.05,-72
2.06,-59
2.07,-47
2.08,-36
2.09,-26
2.1,-16
2.11,-6
2.12,1
2.13,6
2.14,11
2.15,16
2.16,21
2.17,24
2.18,25
2.19,26
2.2,27
2.21,27
2.22,25
2.23,22
2.24,18
2.25,15
2.26,11
2.27,4
2.28,-3
2.29,-11
2.3,-19
2.31,-27
2.32,-40
2.33,-52
2.34,-64
2.35,-75
2.36,-89
2.37,-104
2.38,-120
2.39,-135
2.4,-152
2.41,-169
2.42,-186
2.43,-202
2.44,-219
2.45,-236
2.46,-253
2.47,-268
2.48,-284
2.49,-299
2.5,-313
2.51,-326
2.52,-339
2.53,-350
2.54,-361
2.55,-371
2.56,-379
2.57,-386
2.58,-392
2.59,-398
2.6,-401
2.61,-402
2.62,-402
2.63,-402
2.64,-403
2.65,-404
2.66,-404
2.67,-400
2.68,-395
2.69,-391
2.7,-386
2.71,-377
2.72,-368
2.73,-359
2.74,-349
2.75,-335
2.76,-322
2.77,-310
2.78,-297
2.79,-280
2.8,-264
2.81,-249
2.82,-233
2.83,-215
2.84,-198
2.85,-182
2.86,-166
2.87,-148
2.88,-132
2.89,-116
2.9,-100
2.91,-85
2.92,-72
2.93,-59
2.94,-47
2.95,-36
2.96,-26
2.97,-16
2.98,-6
2.99,1
3,6
3.01,11
3.02,16
3.03,21
3.04,24
3.05,25
3.06,26
3.07,27
3.08,27
3.09,25
3.1,22
3.11,18
3.12,15
3.13,11
3.14,4
3.15,-3
3.16,-11
3.17,-19
3.18,-27
3.19,-40
3.2,-52
3.21,-64
3.22,-75
3.23,-89
3.24,-104
3.25,-120
3.26,-135
3.27,-152
3.28,-169
3.29,-186
3.3,-202
3.31,-219
3.32,-236
3.33,-253
3.34,-268
3.35,-284
3.36,-299
3.37,-313
3.38,-326
3.39,-339
3.4,-350
3.41,-361
3.42,-371
3.43,-379
3.44,-386
3.45,-392
3.46,-398
3.47,-401
3.48,-402
3.49,-402
3.5,-402
3.51,-403
3.52,-404
3.53,-404
3.54,-400
3.55,-395
3.56,-391
3.57,-386
3.58,-377
3.59,-368
3.6,-359
3.61,-349
3.62,-335
3.63,-322
3.64,-310
3.65,-297
3.66,-280
3.67,-264
3.68,-249
3.69,-233
3.7,-215
3.71,-198
3.72,-182
3.73,-166
3.74,-148
3.75,-132
3.76,-116
3.77,-100
3.78,-85
3.79,-72
3.8,-59
3.81,-47
3.82,-36
3.83,-26
3.84,-16
3.85,-6
3.86,1
3.87,6
3.88,11
3.89,16
3.9,21
3.91,24
3.92,25
3.93,26
3.94,27
3.95,27
3.96,25
3.97,22
3.98,18
3.99,15
4,12
4.01,4
4.02,-3
4.03,-11
4.04,-19
4.05,-27
4.06,-40
4.07,-52
4.08,-64
4.09,-75
4.1,-89
4.11,-104
4.12,-120
4.13,-135
4.14,-152
4.15,-169
4.16,-186
4.17,-202
4.18,-219
4.19,-236
4.2,-253
4.21,-268
4.22,-284
4.23,-299
4.24,-313
4.25,-326
4.26,-339
4.27,-350
4.28,-361
4.29,-371
4.3,-379
4.31,-386
4.32,-392
4.33,-398
